gmina_code,gmina_name,year,tot_pop,working_pop,higher,post_secondary,secondary,secondary_general,secondary_vocational,vocational,primary
0200000,DOLNOŚLĄSKIE,1998,2948212,1603071,146699,,577461,,,534634,814891
0201000,Powiat bolesławiecki,1998,86359,47068,2649,,13847,,,16302,25419
0201011,Bolesławiec (1),1998,43503,24764,2213,,9786,,,7924,11100
0201022,Bolesławiec (2),1998,10340,5345,84,,882,,,2158,3363
0201032,Gromadka (2),1998,5851,3066,72,,638,,,1062,1918
0201043,Nowogrodziec (3),1998,14096,7251,140,,1264,,,2802,4785
0201044,Nowogrodziec - miasto (4),1998,3773,1993,75,,520,,,760,1079
0201045,Nowogrodziec - obszar wiejski (5),1998,10323,5258,65,,744,,,2042,3706
0201052,Osiecznica (2),1998,5035,2672,61,,467,,,858,1778
0201062,Warta Bolesławiecka (2),1998,7534,3970,79,,810,,,1498,2475
0202000,Powiat dzierżoniowski,1998,113302,61299,3344,,18930,,,20485,36221
0202011,Bielawa (1),1998,34153,18670,1028,,5484,,,6393,11279
0202021,Dzierżoniów (1),1998,37573,21096,1653,,7863,,,6465,11482
0202031,Pieszyce (1),1998,10289,5284,175,,1418,,,1887,3486
0202041,Piława Górna (1),1998,7001,3750,114,,956,,,1371,2199
0202052,Dzierżoniów (2),1998,10023,5062,140,,1246,,,1870,3205
0202062,Łagiewniki (2),1998,7544,3949,114,,1034,,,1297,2308
0202073,Niemcza (3),1998,6719,3488,120,,929,,,1202,2262
0202074,Niemcza - miasto (4),1998,3600,1903,82,,560,,,638,1232
0202075,Niemcza - obszar wiejski (5),1998,3119,1585,38,,369,,,564,1030
0203000,Powiat głogowski,1998,88576,47479,3261,,16048,,,18425,20946
0203011,Głogów (1),1998,70438,38356,3037,,14392,,,14954,14751
0203022,Głogów (2),1998,4565,2304,58,,481,,,976,1503
0203032,Jerzmanowa (2),1998,2621,1331,35,,199,,,485,887
0203042,Kotla (2),1998,4216,2102,55,,445,,,753,1425
0203052,Pęcław (2),1998,2329,1188,27,,157,,,446,837
0203062,Żukowice (2),1998,4407,2198,49,,374,,,811,1543
0204000,Powiat górowski,1998,36843,18570,800,,4889,,,6512,11639
0204013,Góra (3),1998,20393,10349,536,,3149,,,3665,6085
0204014,Góra - miasto (4),1998,11557,6023,432,,2397,,,2117,2898
0204015,Góra - obszar wiejski (5),1998,8836,4326,104,,752,,,1548,3187
0204022,Jemielno (2),1998,3201,1531,45,,272,,,501,1251
0204032,Niechlów (2),1998,5395,2751,94,,524,,,944,1802
0204043,Wąsosz (3),1998,7854,3939,125,,944,,,1402,2501
0204044,Wąsosz - miasto (4),1998,2911,1469,71,,507,,,490,788
0204045,Wąsosz - obszar wiejski (5),1998,4943,2470,54,,437,,,912,1713
0205000,Powiat jaworski,1998,53126,27667,1293,,8638,,,9863,15328
0205011,Jawor (1),1998,23524,12523,851,,5042,,,4229,5753
0205023,Bolków (3),1998,11585,6028,214,,1639,,,2331,3665
0205024,Bolków - miasto (4),1998,5599,3101,149,,1065,,,1149,1642
0205025,Bolków - obszar wiejski (5),1998,5986,2927,65,,574,,,1182,2023
0205032,Męcinka (2),1998,5175,2571,57,,564,,,957,1720
0205042,Mściwojów (2),1998,4362,2236,67,,479,,,827,1364
0205052,Paszowice (2),1998,4129,2033,54,,442,,,789,1322
0205062,Wądroże Wielkie (2),1998,4351,2276,50,,472,,,730,1504
0206000,Powiat karkonoski,1998,66859,36250,2014,,11717,,,12722,20335
0206011,Karpacz (1),1998,5734,3379,311,,1434,,,1039,1471
0206021,Kowary (1),1998,12383,6866,371,,2301,,,2368,3665
0206031,Piechowice (1),1998,6729,3711,208,,1360,,,1358,1905
0206041,Szklarska Poręba (1),1998,8184,4688,422,,1866,,,1291,2250
0206052,Janowice Wielkie (2),1998,4123,2170,93,,591,,,750,1322
0206062,Jeżów Sudecki (2),1998,5782,2907,89,,731,,,1253,1791
0206072,Mysłakowice (2),1998,10506,5516,224,,1518,,,2052,3491
0206082,Podgórzyn (2),1998,8160,4318,204,,1319,,,1534,2733
0206092,Stara Kamienica (2),1998,5258,2695,92,,597,,,1077,1707
0207000,Powiat kamiennogórski,1998,49295,26430,1024,,7535,,,9915,15135
0207011,Kamienna Góra (1),1998,23424,12923,710,,4594,,,4551,6599
0207022,Kamienna Góra (2),1998,8425,4320,79,,897,,,1769,2662
0207033,Lubawka (3),1998,12324,6557,171,,1535,,,2523,4101
0207034,Lubawka - miasto (4),1998,7085,3853,114,,997,,,1443,2300
0207035,Lubawka - obszar wiejski (5),1998,5239,2704,57,,538,,,1080,1801
0207042,Marciszów (2),1998,5122,2630,64,,509,,,1072,1773
0208000,Powiat kłodzki,1998,183126,98269,5312,,31053,,,34974,56544
0208011,Duszniki-Zdrój (1),1998,5897,3307,216,,1171,,,1061,1834
0208021,Kłodzko (1),1998,30111,16544,1661,,7686,,,5143,7693
0208031,Kudowa-Zdrój (1),1998,10308,5663,320,,1936,,,2084,3009
0208041,Nowa Ruda (1),1998,27549,15688,750,,4871,,,5950,8293
0208051,Polanica-Zdrój (1),1998,7451,4126,360,,1687,,,1295,2159
0208063,Bystrzyca Kłodzka (3),1998,22076,11533,559,,3682,,,3788,7029
0208064,Bystrzyca Kłodzka - miasto (4),1998,12067,6430,379,,2318,,,2046,3652
0208065,Bystrzyca Kłodzka - obszar wiejski (5),1998,10009,5103,180,,1364,,,1742,3377
0208072,Kłodzko (2),1998,18752,9340,221,,2066,,,3707,6184
0208083,Lądek-Zdrój (3),1998,9572,5277,350,,1777,,,1774,2993
0208084,Lądek-Zdrój - miasto (4),1998,6785,3848,291,,1465,,,1230,1997
0208085,Lądek-Zdrój - obszar wiejski (5),1998,2787,1429,59,,312,,,544,996
0208092,Lewin Kłodzki (2),1998,2253,1151,43,,335,,,428,718
0208103,Międzylesie (3),1998,8173,4150,167,,1058,,,1425,2724
0208104,Międzylesie - miasto (4),1998,2824,1535,85,,496,,,474,850
0208105,Międzylesie - obszar wiejski (5),1998,5349,2615,82,,562,,,951,1874
0208112,Nowa Ruda (2),1998,14025,7354,215,,1591,,,2941,4875
0208123,Radków (3),1998,10275,5232,109,,1074,,,1975,3638
0208124,Radków - miasto (4),1998,2512,1326,42,,322,,,502,831
0208125,Radków - obszar wiejski (5),1998,7763,3906,67,,752,,,1473,2807
0208133,Stronie Śląskie (3),1998,8722,4736,197,,1176,,,1763,2816
0208134,Stronie Śląskie - miasto (4),1998,6848,3797,161,,975,,,1437,2152
0208135,Stronie Śląskie - obszar wiejski (5),1998,1874,939,36,,201,,,326,664
0208143,Szczytna (3),1998,7962,4168,144,,943,,,1640,2579
0208144,Szczytna - miasto (4),1998,5889,3144,121,,753,,,1260,1781
0208145,Szczytna - obszar wiejski (5),1998,2073,1024,23,,190,,,380,798
0209000,Powiat legnicki,1998,54836,28739,1072,,7363,,,9788,17836
0209011,Chojnów (1),1998,14067,7606,470,,2766,,,2330,4156
0209022,Chojnów (2),1998,10016,5102,145,,1033,,,1706,3690
0209032,Krotoszyce (2),1998,3495,1786,51,,325,,,706,1192
0209042,Kunice (2),1998,4398,2285,70,,516,,,870,1452
0209052,Legnickie Pole (2),1998,5622,3162,63,,608,,,974,1576
0209062,Miłkowice (2),1998,6785,3407,102,,872,,,1343,2177
0209073,Prochowice (3),1998,7274,3825,140,,985,,,1344,2429
0209074,Prochowice - miasto (4),1998,3465,1868,92,,626,,,578,1113
0209075,Prochowice - obszar wiejski (5),1998,3809,1957,48,,359,,,766,1316
0209082,Ruja (2),1998,3179,1566,31,,258,,,515,1164
0210000,Powiat lubański,1998,59578,30824,1461,,10155,,,11190,17583
0210011,Lubań (1),1998,23285,12542,840,,5195,,,4166,6417
0210021,Świeradów-Zdrój (1),1998,4900,2709,169,,981,,,823,1470
0210033,Leśna (3),1998,11049,5597,174,,1449,,,2238,3420
0210034,Leśna - miasto (4),1998,4787,2579,103,,843,,,1017,1326
0210035,Leśna - obszar wiejski (5),1998,6262,3018,71,,606,,,1221,2094
0210042,Lubań (2),1998,6507,3178,67,,604,,,1324,2071
0210052,Olszyna (2),1998,7194,3603,129,,1101,,,1396,2082
0210062,Platerówka (2),1998,1861,864,25,,248,,,363,559
0210072,Siekierczyn (2),1998,4782,2331,57,,577,,,880,1564
0211000,Powiat lubiński,1998,106077,59245,4256,,20391,,,21217,26797
0211011,Lubin (1),1998,78695,45195,3812,,17262,,,16184,17475
0211022,Lubin (2),1998,9524,4885,168,,905,,,1806,3404
0211032,Rudna (2),1998,7100,3604,95,,763,,,1260,2441
0211043,Ścinawa (3),1998,10758,5561,181,,1461,,,1967,3477
0211044,Ścinawa - miasto (4),1998,5872,3072,136,,966,,,1103,1705
0211045,Ścinawa - obszar wiejski (5),1998,4886,2489,45,,495,,,864,1772
0212000,Powiat lwówecki,1998,51526,26071,1215,,7837,,,9583,15703
0212013,Gryfów Śląski (3),1998,10946,5777,216,,1733,,,2252,3360
0212014,Gryfów Śląski - miasto (4),1998,7325,3982,177,,1336,,,1504,2114
0212015,Gryfów Śląski - obszar wiejski (5),1998,3621,1795,39,,397,,,748,1246
0212023,Lubomierz (3),1998,6613,3091,144,,842,,,1192,2173
0212024,Lubomierz - miasto (4),1998,1951,896,98,,384,,,256,626
0212025,Lubomierz - obszar wiejski (5),1998,4662,2195,46,,458,,,936,1547
0212033,Lwówek Śląski (3),1998,19210,9663,595,,3257,,,3411,5502
0212034,Lwówek Śląski - miasto (4),1998,9266,4949,436,,2186,,,1572,2289
0212035,Lwówek Śląski - obszar wiejski (5),1998,9944,4714,159,,1071,,,1839,3213
0212043,Mirsk (3),1998,9642,4902,153,,1269,,,1855,3088
0212044,Mirsk - miasto (4),1998,4306,2249,85,,702,,,813,1339
0212045,Mirsk - obszar wiejski (5),1998,5336,2653,68,,567,,,1042,1749
0212053,Wleń (3),1998,5115,2638,107,,736,,,873,1580
0212054,Wleń - miasto (4),1998,2085,1107,62,,392,,,367,597
0212055,Wleń - obszar wiejski (5),1998,3030,1531,45,,344,,,506,983
0213000,Powiat milicki,1998,36515,17904,960,,5133,,,7200,11148
0213012,Cieszków (2),1998,4715,2260,76,,492,,,970,1543
0213022,Krośnice (2),1998,7826,3864,146,,859,,,1448,2522
0213033,Milicz (3),1998,23974,11780,738,,3782,,,4782,7083
0213034,Milicz - miasto (4),1998,11970,6015,547,,2646,,,2254,2963
0213035,Milicz - obszar wiejski (5),1998,12004,5765,191,,1136,,,2528,4120
0214000,Powiat oleśnicki,1998,100535,52537,3072,,16961,,,18413,29532
0214011,Oleśnica (1),1998,37510,20722,1941,,8863,,,6816,9705
0214023,Bierutów (3),1998,10497,5348,187,,1352,,,1825,3459
0214024,Bierutów - miasto (4),1998,5011,2628,150,,884,,,857,1507
0214025,Bierutów - obszar wiejski (5),1998,5486,2720,37,,468,,,968,1952
0214032,Dobroszyce (2),1998,5776,2815,113,,619,,,1084,1905
0214042,Dziadowa Kłoda (2),1998,4476,2151,42,,360,,,791,1478
0214053,Międzybórz (3),1998,4882,2421,78,,545,,,866,1629
0214054,Międzybórz - miasto (4),1998,2170,1078,55,,341,,,387,645
0214055,Międzybórz - obszar wiejski (5),1998,2712,1343,23,,204,,,479,984
0214062,Oleśnica (2),1998,10697,5400,123,,872,,,1973,3716
0214073,Syców (3),1998,14901,7733,398,,2683,,,2714,4054
0214074,Syców - miasto (4),1998,9616,5055,337,,2171,,,1727,2325
0214075,Syców - obszar wiejski (5),1998,5285,2678,61,,512,,,987,1729
0214083,Twardogóra (3),1998,11796,5947,190,,1667,,,2344,3586
0214084,Twardogóra - miasto (4),1998,5982,3100,132,,1106,,,1221,1713
0214085,Twardogóra - obszar wiejski (5),1998,5814,2847,58,,561,,,1123,1873
0215000,Powiat oławski,1998,68846,36850,2077,,11937,,,13713,18366
0215011,Oława (1),1998,31030,17362,1357,,6946,,,5942,7967
0215022,Domaniów (2),1998,5381,2808,60,,541,,,1017,1701
0215033,Jelcz-Laskowice (3),1998,19731,10291,477,,3100,,,4190,4578
0215034,Jelcz-Laskowice - miasto (4),1998,13557,7244,394,,2487,,,2998,2545
0215035,Jelcz-Laskowice - obszar wiejski (5),1998,6174,3047,83,,613,,,1192,2033
0215042,Oława (2),1998,12704,6389,183,,1350,,,2564,4120
0216000,Powiat polkowicki,1998,58352,31372,987,,7765,,,12133,17363
0216013,Chocianów (3),1998,12194,6403,197,,1833,,,2343,3576
0216014,Chocianów - miasto (4),1998,7472,4040,163,,1388,,,1460,1907
0216015,Chocianów - obszar wiejski (5),1998,4722,2363,34,,445,,,883,1669
0216022,Gaworzyce (2),1998,3700,1841,37,,323,,,711,1208
0216032,Grębocice (2),1998,5497,2797,80,,456,,,975,1934
0216043,Polkowice (3),1998,24307,13727,509,,3690,,,5667,6835
0216044,Polkowice - miasto (4),1998,20359,11694,474,,3366,,,4907,5392
0216045,Polkowice - obszar wiejski (5),1998,3948,2033,35,,324,,,760,1443
0216053,Przemków (3),1998,8535,4578,110,,1093,,,1721,2492
0216054,Przemków - miasto (4),1998,6057,3290,93,,897,,,1278,1623
0216055,Przemków - obszar wiejski (5),1998,2478,1288,17,,196,,,443,869
0216062,Radwanice (2),1998,4119,2026,54,,370,,,716,1318
0217000,Powiat strzeliński,1998,46657,24254,968,,6629,,,8713,14391
0217012,Borów (2),1998,5466,2881,73,,680,,,1072,1713
0217022,Kondratowice (2),1998,5063,2580,64,,535,,,963,1576
0217032,Przeworno (2),1998,5590,2930,54,,617,,,1145,1753
0217043,Strzelin (3),1998,22656,11830,679,,4025,,,4113,6573
0217044,Strzelin - miasto (4),1998,12776,6837,524,,2875,,,2265,3403
0217045,Strzelin - obszar wiejski (5),1998,9880,4993,155,,1150,,,1848,3170
0217053,Wiązów (3),1998,7882,4033,98,,772,,,1420,2776
0217054,Wiązów - miasto (4),1998,2259,1183,45,,272,,,396,812
0217055,Wiązów - obszar wiejski (5),1998,5623,2850,53,,500,,,1024,1964
0218000,Powiat średzki,1998,48522,25327,909,,6380,,,9129,14925
0218012,Kostomłoty (2),1998,7047,3705,93,,731,,,1282,2179
0218022,Malczyce (2),1998,5810,3040,95,,758,,,1154,1885
0218032,Miękinia (2),1998,10811,5576,164,,1175,,,2131,3495
0218043,Środa Śląska (3),1998,18903,9955,491,,3084,,,3502,5499
0218044,Środa Śląska - miasto (4),1998,8498,4625,358,,1898,,,1462,2317
0218045,Środa Śląska - obszar wiejski (5),1998,10405,5330,133,,1186,,,2040,3182
0218052,Udanin (2),1998,5951,3051,66,,632,,,1060,1867
0219000,Powiat świdnicki,1998,166630,89944,5530,,30387,,,33066,47799
0219011,Świdnica (1),1998,62178,34811,3351,,14482,,,11663,15829
0219021,Świebodzice (1),1998,24373,13604,800,,4670,,,5341,6757
0219032,Dobromierz (2),1998,6043,3064,80,,789,,,1206,1742
0219043,Jaworzyna Śląska (3),1998,10574,5382,173,,1498,,,2030,3538
0219044,Jaworzyna Śląska - miasto (4),1998,5168,2721,103,,879,,,991,1678
0219045,Jaworzyna Śląska - obszar wiejski (5),1998,5406,2661,70,,619,,,1039,1860
0219052,Marcinowice (2),1998,6322,3162,85,,705,,,1249,2047
0219063,Strzegom (3),1998,28124,15052,594,,4451,,,5583,8345
0219064,Strzegom - miasto (4),1998,17204,9470,470,,3268,,,3362,4831
0219065,Strzegom - obszar wiejski (5),1998,10920,5582,124,,1183,,,2221,3514
0219072,Świdnica (2),1998,15978,8085,208,,1908,,,3353,5153
0219083,Żarów (3),1998,13038,6784,239,,1884,,,2641,4388
0219084,Żarów - miasto (4),1998,6999,3762,167,,1296,,,1395,2205
0219085,Żarów - obszar wiejski (5),1998,6039,3022,72,,588,,,1246,2183
0220000,Powiat trzebnicki,1998,71632,36996,1708,,10240,,,14883,20766
0220013,Oborniki Śląskie (3),1998,15661,8125,560,,2842,,,3216,4217
0220014,Oborniki Śląskie - miasto (4),1998,7310,3859,426,,1831,,,1378,1621
0220015,Oborniki Śląskie - obszar wiejski (5),1998,8351,4266,134,,1011,,,1838,2596
0220022,Prusice (2),1998,9146,4645,97,,860,,,1963,2836
0220033,Trzebnica (3),1998,20281,10619,640,,3426,,,4037,5617
0220034,Trzebnica - miasto (4),1998,11149,6052,570,,2682,,,2004,2665
0220035,Trzebnica - obszar wiejski (5),1998,9132,4567,70,,744,,,2033,2952
0220042,Wisznia Mała (2),1998,6619,3375,135,,671,,,1470,1982
0220052,Zawonia (2),1998,5186,2593,49,,478,,,947,1610
0220063,Żmigród (3),1998,14739,7639,227,,1963,,,3250,4504
0220064,Żmigród - miasto (4),1998,6011,3187,143,,1165,,,1360,1538
0220065,Żmigród - obszar wiejski (5),1998,8728,4452,84,,798,,,1890,2966
0221000,Powiat wałbrzyski,1998,65134,35505,1510,,9925,,,12929,21658
0221011,Boguszów-Gorce (1),1998,19614,11118,302,,2921,,,4375,6520
0221021,Jedlina-Zdrój (1),1998,5747,3089,116,,922,,,1083,1977
0221031,Szczawno-Zdrój (1),1998,6348,3468,557,,1657,,,1000,1725
0221042,Czarny Bór (2),1998,4681,2449,46,,507,,,1094,1491
0221053,Głuszyca (3),1998,9904,5383,151,,1491,,,1892,3384
0221054,Głuszyca - miasto (4),1998,7351,4028,132,,1209,,,1429,2405
0221055,Głuszyca - obszar wiejski (5),1998,2553,1355,19,,282,,,463,979
0221063,Mieroszów (3),1998,8148,4387,160,,1109,,,1424,2870
0221064,Mieroszów - miasto (4),1998,5113,2758,80,,689,,,943,1784
0221065,Mieroszów - obszar wiejski (5),1998,3035,1629,80,,420,,,481,1086
0221072,Stare Bogaczowice (2),1998,4368,2272,71,,518,,,942,1347
0221082,Walim (2),1998,6324,3339,107,,800,,,1119,2344
0222000,Powiat wołowski,1998,48891,25734,1318,,8604,,,8539,14820
0222013,Brzeg Dolny (3),1998,16823,9023,580,,3182,,,3139,4823
0222014,Brzeg Dolny - miasto (4),1998,13207,7240,541,,2828,,,2481,3519
0222015,Brzeg Dolny - obszar wiejski (5),1998,3616,1783,39,,354,,,658,1304
0222022,Wińsko (2),1998,9201,4616,104,,1037,,,1582,3127
0222033,Wołów (3),1998,22867,12095,634,,4385,,,3818,6870
0222034,Wołów - miasto (4),1998,11833,6399,499,,3023,,,1842,3137
0222035,Wołów - obszar wiejski (5),1998,11034,5696,135,,1362,,,1976,3733
0223000,Powiat wrocławski,1998,90212,47106,1886,,12035,,,17590,27670
0223012,Czernica (2),1998,6924,3630,172,,913,,,1505,2098
0223022,Długołęka (2),1998,16203,8207,293,,1835,,,3204,5176
0223032,Jordanów Śląski (2),1998,3042,1584,25,,340,,,560,994
0223043,Kąty Wrocławskie (3),1998,16736,8801,356,,2352,,,3000,5090
0223044,Kąty Wrocławskie - miasto (4),1998,4915,2644,135,,994,,,871,1400
0223045,Kąty Wrocławskie - obszar wiejski (5),1998,11821,6157,221,,1358,,,2129,3690
0223052,Kobierzyce (2),1998,11215,5752,247,,1465,,,2156,3527
0223062,Mietków (2),1998,3867,2057,57,,497,,,823,1176
0223073,Sobótka (3),1998,12300,6439,235,,1747,,,2346,3868
0223074,Sobótka - miasto (4),1998,6525,3471,176,,1181,,,1240,1917
0223075,Sobótka - obszar wiejski (5),1998,5775,2968,59,,566,,,1106,1951
0223083,Siechnice (3),1998,12145,6567,383,,2021,,,2416,3346
0223084,Siechnice - miasto (4),1998,4066,2259,124,,671,,,883,1071
0223085,Siechnice - obszar wiejski (5),1998,8079,4308,259,,1350,,,1533,2275
0223092,Żórawina (2),1998,7780,4069,118,,865,,,1580,2395
0224000,Powiat ząbkowicki,1998,73933,37963,1878,,12145,,,12957,23177
0224013,Bardo (3),1998,6238,3122,128,,917,,,1104,1758
0224014,Bardo - miasto (4),1998,3052,1598,103,,538,,,541,785
0224015,Bardo - obszar wiejski (5),1998,3186,1524,25,,379,,,563,973
0224022,Ciepłowody (2),1998,3508,1724,44,,346,,,658,1244
0224032,Kamieniec Ząbkowicki (2),1998,8838,4428,157,,1260,,,1616,2862
0224042,Stoszowice (2),1998,5877,2965,107,,719,,,1038,1928
0224053,Ząbkowice Śląskie (3),1998,24478,13028,871,,5076,,,4247,7044
0224054,Ząbkowice Śląskie - miasto (4),1998,17104,9310,771,,4177,,,2813,4627
0224055,Ząbkowice Śląskie - obszar wiejski (5),1998,7374,3718,100,,899,,,1434,2417
0224063,Ziębice (3),1998,19845,10042,448,,3072,,,3356,6678
0224064,Ziębice - miasto (4),1998,10111,5247,327,,2016,,,1660,3150
0224065,Ziębice - obszar wiejski (5),1998,9734,4795,121,,1056,,,1696,3528
0224073,Złoty Stok (3),1998,5149,2654,123,,755,,,938,1663
0224074,Złoty Stok - miasto (4),1998,3109,1630,95,,559,,,538,936
0224075,Złoty Stok - obszar wiejski (5),1998,2040,1024,28,,196,,,400,727
0225000,Powiat zgorzelecki,1998,98997,53682,2773,,15804,,,18511,30978
0225011,Zawidów (1),1998,4244,2320,60,,716,,,931,1245
0225021,Zgorzelec (1),1998,35930,20569,1734,,7947,,,6447,9834
0225033,Bogatynia (3),1998,25856,14070,548,,3509,,,5221,8182
0225034,Bogatynia - miasto (4),1998,18175,9944,466,,2736,,,3735,5440
0225035,Bogatynia - obszar wiejski (5),1998,7681,4126,82,,773,,,1486,2742
0225043,Pieńsk (3),1998,9513,4908,127,,1009,,,1513,3575
0225044,Pieńsk - miasto (4),1998,5880,3135,95,,739,,,919,2202
0225045,Pieńsk - obszar wiejski (5),1998,3633,1773,32,,270,,,594,1373
0225052,Sulików (2),1998,6302,3078,72,,703,,,1185,1990
0225063,Węgliniec (3),1998,9415,4829,122,,1087,,,1767,3469
0225064,Węgliniec - miasto (4),1998,3340,1733,49,,480,,,675,1178
0225065,Węgliniec - obszar wiejski (5),1998,6075,3096,73,,607,,,1092,2291
0225072,Zgorzelec (2),1998,7737,3908,110,,833,,,1447,2683
0226000,Powiat złotoryjski,1998,47631,24499,1115,,6971,,,8451,14256
0226011,Wojcieszów (1),1998,4193,2170,78,,529,,,816,1332
0226021,Złotoryja (1),1998,16287,8787,724,,3486,,,2803,4100
0226032,Pielgrzymka (2),1998,4945,2431,40,,491,,,872,1607
0226043,Świerzawa (3),1998,8384,4149,109,,948,,,1538,2631
0226044,Świerzawa - miasto (4),1998,2526,1299,51,,389,,,477,703
0226045,Świerzawa - obszar wiejski (5),1998,5858,2850,58,,559,,,1061,1928
0226052,Zagrodno (2),1998,6329,3238,72,,712,,,1086,2245
0226062,Złotoryja (2),1998,7493,3724,92,,805,,,1336,2341
0261000,Powiat m. Jelenia Góra,1998,93239,52110,6763,,23893,,,16049,23377
0261011,Jelenia Góra (1),1998,93239,52110,6763,,23893,,,16049,23377
0262000,Powiat m. Legnica,1998,102995,57437,5767,,23303,,,19266,26218
0262011,Legnica (1),1998,102995,57437,5767,,23303,,,19266,26218
0263000,Powiat m. Wałbrzych do 2002,1998,141002,80286,6041,,28215,,,28115,40627
0263011,Wałbrzych do 2002 (1),1998,141002,80286,6041,,28215,,,28115,40627
0264000,Powiat m. Wrocław,1998,638986,365654,73736,,182731,,,94001,138334
0264011,Wrocław (1),1998,638986,365654,73736,,182731,,,94001,138334
0400000,KUJAWSKO-POMORSKIE,1998,2044049,1068303,79851,,338821,,,402473,624160
0401000,Powiat aleksandrowski,1998,55697,28237,1487,,8025,,,10763,17442
0401011,Aleksandrów Kujawski (1),1998,12463,6478,359,,2358,,,2636,3299
0401021,Ciechocinek (1),1998,10960,5855,765,,2781,,,1828,2858
0401031,Nieszawa (1),1998,2029,1014,61,,264,,,340,751
0401042,Aleksandrów Kujawski (2),1998,9867,4887,75,,856,,,2087,3378
0401052,Bądkowo (2),1998,5133,2460,68,,447,,,923,1730
0401062,Koneck (2),1998,3810,1875,30,,295,,,693,1521
0401072,Raciążek (2),1998,2698,1376,35,,280,,,549,943
0401082,Waganiec (2),1998,4665,2318,52,,383,,,968,1579
0401092,Zakrzewo (2),1998,4072,1974,42,,361,,,739,1383
0402000,Powiat brodnicki,1998,73244,36216,1563,,8730,,,12736,26560
0402011,Brodnica (1),1998,25265,12976,1013,,5042,,,4893,6850
0402022,Bobrowo (2),1998,6485,3134,56,,486,,,1084,2829
0402032,Brodnica (2),1998,5489,2672,55,,419,,,915,2248
0402042,Brzozie (2),1998,3617,1713,48,,203,,,606,1575
0402053,Górzno (3),1998,3994,1914,40,,302,,,620,1692
0402054,Górzno - miasto (4),1998,1285,627,28,,179,,,251,422
0402055,Górzno - obszar wiejski (5),1998,2709,1287,12,,123,,,369,1270
0402062,Bartniczka (2),1998,4650,2234,37,,341,,,825,1963
0402073,Jabłonowo Pomorskie (3),1998,9449,4640,122,,900,,,1800,3543
0402074,Jabłonowo Pomorskie - miasto (4),1998,3482,1723,71,,455,,,806,1169
0402075,Jabłonowo Pomorskie - obszar wiejski (5),1998,5967,2917,51,,445,,,994,2374
0402082,Osiek (2),1998,4372,2135,58,,319,,,610,1653
0402092,Świedziebnia (2),1998,5252,2543,59,,344,,,554,2229
0402102,Zbiczno (2),1998,4671,2255,75,,374,,,829,1978
0403000,Powiat bydgoski,1998,78950,40795,1654,,9375,,,18250,25885
0403012,Białe Błota (2),1998,8512,4516,200,,1052,,,2161,2484
0403022,Dąbrowa Chełmińska (2),1998,6399,3195,94,,527,,,1343,2429
0403032,Dobrcz (2),1998,8627,4384,160,,774,,,1831,3167
0403043,Koronowo (3),1998,22007,11222,460,,2713,,,5128,7076
0403044,Koronowo - miasto (4),1998,9861,5198,281,,1584,,,2521,2635
0403045,Koronowo - obszar wiejski (5),1998,12146,6024,179,,1129,,,2607,4441
0403052,Nowa Wieś Wielka (2),1998,5940,3116,130,,568,,,1515,1948
0403062,Osielsko (2),1998,5311,2731,105,,618,,,1217,1829
0403072,Sicienko (2),1998,7602,3799,137,,657,,,1654,2715
0403083,Solec Kujawski (3),1998,14552,7832,368,,2466,,,3401,4237
0403084,Solec Kujawski - miasto (4),1998,13459,7298,347,,2365,,,3206,3839
0403085,Solec Kujawski - obszar wiejski (5),1998,1093,534,21,,101,,,195,398
0404000,Powiat chełmiński,1998,52005,26574,1148,,6708,,,10478,17463
0404011,Chełmno (1),1998,21241,11254,729,,3961,,,4431,6005
0404022,Chełmno (2),1998,5099,2491,47,,412,,,997,1966
0404032,Kijewo Królewskie (2),1998,4161,2114,46,,389,,,868,1541
0404042,Lisewo (2),1998,5407,2619,62,,427,,,1033,1939
0404052,Papowo Biskupie (2),1998,4338,2175,50,,346,,,749,1747
0404062,Stolno (2),1998,5139,2533,103,,427,,,940,2059
0404072,Unisław (2),1998,6620,3388,111,,746,,,1460,2206
0405000,Powiat golubsko-dobrzyński,1998,43418,21859,635,,4864,,,7793,15659
0405011,Golub-Dobrzyń (1),1998,10448,5558,281,,1955,,,1937,2894
0405022,Ciechocin (2),1998,3941,1944,41,,266,,,688,1591
0405032,Golub-Dobrzyń (2),1998,8365,4084,77,,692,,,1395,3225
0405043,Kowalewo Pomorskie (3),1998,11458,5744,153,,1267,,,2348,4216
0405044,Kowalewo Pomorskie - miasto (4),1998,4124,2111,86,,621,,,906,1372
0405045,Kowalewo Pomorskie - obszar wiejski (5),1998,7334,3633,67,,646,,,1442,2844
0405052,Radomin (2),1998,4403,2140,36,,346,,,750,1757
0405062,Zbójno (2),1998,4803,2389,47,,338,,,675,1976
0406000,Powiat grudziądzki,1998,39368,19404,476,,3527,,,7316,14874
0406012,Grudziądz (2),1998,9356,4654,91,,819,,,1976,3475
0406022,Gruta (2),1998,6995,3521,91,,596,,,1323,2710
0406033,Łasin (3),1998,8954,4369,127,,924,,,1504,3453
0406034,Łasin - miasto (4),1998,3245,1636,84,,554,,,606,1074
0406035,Łasin - obszar wiejski (5),1998,5709,2733,43,,370,,,898,2379
0406043,Radzyń Chełmiński (3),1998,4997,2465,73,,487,,,945,1884
