teryt_gmina,gmina_name,powiat_name,wojewodztwo_code
1402033,Glinojeck (3),ciechanowski,14
2466011,Gliwice (1),m.Gliwice,24
0203011,Głogów (1),głogowski,02
0203022,Głogów (2),głogowski,02
1816063,Głogów Małopolski (3),rzeszowski,18
1610023,Głogówek (3),prudnicki,16
1407023,Głowaczów (2),kozienicki,14
1020011,Głowno (1),zgierski,10
1020052,Głowno (2),zgierski,10
2212042,Główczyce (2),słupski,22
1602033,Głubczyce (3),głubczycki,16
1607013,Głuchołazy (3),nyski,16
1015022,Głuchów (2),skierniewicki,10
0609052,Głusk (2),lubelski,06
0221053,Głuszyca (3),wałbrzyski,02
2214023,Gniew (3),tczewski,22
2215052,Gniewino (2),wejherowski,22
0407033,Gniewkowo (3),inowrocławski,04
1407032,Gniewoszów (2),kozienicki,14
3003011,Gniezno (1),gnieźnieński,30
3003032,Gniezno (2),gnieźnieński,30
1202052,Gnojnik (2),brzeski,12
2601022,Gnojno (2),buski,26
2410012,Goczałkowice-Zdrój (2),pszczyński,24
2804022,Godkowo (2),elbląski,28
2415052,Godów (2),wodzisławski,24
1015032,Godzianów (2),skierniewicki,10
3007042,Godziesze Wielkie (2),kaliski,30
0605042,Godziszów (2),janowski,06
1605013,Gogolin (3),krapkowicki,16
3207023,Golczewo (3),kamieński,32
3204023,Goleniów (3),goleniowski,32
2403072,Goleszów (2),cieszyński,24
3010013,Golina (3),koniński,30
0405011,Golub-Dobrzyń (1),golubsko-dobrzyński,04
0405032,Golub-Dobrzyń (2),golubsko-dobrzyński,04
3028033,Gołańcz (3),wągrowiecki,30
1208022,Gołcza (2),miechowski,12
2818033,Gołdap (3),gołdapski,28
3020052,Gołuchów (2),pleszewski,30
1402042,Gołymin-Ośrodek (2),ciechanowski,14
1012042,Gomunice (2),radomszczański,10
2008013,Goniądz (3),moniecki,20
0602063,Goraj (2),biłgorajski,06
1205011,Gorlice (1),gorlicki,12
1205042,Gorlice (2),gorlicki,12
1010032,Gorzkowice (2),piotrkowski,10
0606032,Gorzków (2),krasnostawski,06
1608023,Gorzów Śląski (3),oleski,16
0861011,Gorzów Wielkopolski (1),m.Gorzów,08
1820022,Gorzyce (2),tarnobrzeski,18
2415062,Gorzyce (2),wodzisławski,24
0416022,Gostycyn (2),tucholski,04
1404011,Gostynin (1),gostyniński,14
1404022,Gostynin (2),gostyniński,14
3004023,Gostyń (3),gostyński,30
1014062,Goszczanów (2),sieradzki,10
1406042,Goszczyn (2),grójecki,14
0607042,Gościeradów (2),kraśnicki,06
3208033,Gościno (3),kołobrzeski,32
2605023,Gowarczów (2),konecki,26
1415042,Goworowo (2),ostrołęcki,14
0810011,Gozdnica (1),żagański,08
1427022,Gozdowo (2),sierpecki,14
0204013,Góra (3),górowski,02
1418013,Góra Kalwaria (3),piaseczyński,14
1004032,Góra Świętej Małgorzaty (2),łęczycki,10
2604062,Górno (2),kielecki,26
2801021,Górowo Iławeckie (1),bartoszycki,28
2801052,Górowo Iławeckie (2),bartoszycki,28
1403052,Górzno (2),garwoliński,14
0402053,Górzno (3),brodnicki,04
0805022,Górzyca (2),słubicki,08
1425022,Gózd (2),radomski,14
1010042,Grabica (2),piotrkowski,10
0620022,Grabowiec (2),zamojski,06
2006022,Grabowo (2),kolneński,20
1004043,Grabów (2),łęczycki,10
1407042,Grabów nad Pilicą (2),kozienicki,14
3018033,Grabów nad Prosną (3),ostrzeszowski,30
2002162,Grabówka (2),białostocki,20
2004011,Grajewo (1),grajewski,20
2004022,Grajewo (2),grajewski,20
3005012,Granowo (2),grodziski,30
1433022,Grębków (2),węgrowski,14
0216032,Grębocice (2),polkowicki,02
1204032,Gręboszów (2),dąbrowski,12
1820032,Grębów (2),tarnobrzeski,18
1601033,Grodków (3),brzeski,16
2812032,Grodziczno (2),nowomiejski,28
3010022,Grodziec (2),koniński,30
2010042,Grodzisk (2),siemiatycki,20
1405043,Grodzisk Mazowiecki (3),grodziski,14
3005023,Grodzisk Wielkopolski (3),grodziski,30
1808022,Grodzisko Dolne (2),leżajski,18
0201032,Gromadka (2),bolesławiecki,02
1216022,Gromnik (2),tarnowski,12
2804032,Gronowo Elbląskie (2),elbląski,28
2002042,Gródek (2),białostocki,20
1210032,Gródek nad Dunajcem (2),nowosądecki,12
1406053,Grójec (3),grójecki,14
1402052,Grudusk (2),ciechanowski,14
0462011,Grudziądz (1),m.Grudziądz,04
0406012,Grudziądz (2),grudziądzki,04
2815032,Grunwald (2),ostródzki,28
0406022,Gruta (2),grudziądzki,04
1210011,Grybów (1),nowosądecki,12
1210042,Grybów (2),nowosądecki,12
3205023,Gryfice (3),gryficki,32
3206043,Gryfino (3),gryfiński,32
0212013,Gryfów Śląski (3),lwówecki,02
3009052,Grzegorzew (2),kolski,30
3215052,Grzmiąca (2),szczecinecki,32
0802011,Gubin (1),krośnieński,08
0802052,Gubin (2),krośnieński,08
1424012,Gzy (2),pułtuski,14
1802042,Haczów (2),brzozowski,18
2005011,Hajnówka (1),hajnowski,20
2005062,Hajnówka (2),hajnowski,20
1412073,Halinów (3),miński,14
0619022,Hanna (2),włodawski,06
0619032,Hańsk (2),włodawski,06
1812012,Harasiuki (2),niżański,18
2403082,Hażlach (2),cieszyński,24
2211011,Hel (1),pucki,22
2407042,Herby (2),lubliniecki,24
0604032,Horodło (2),hrubieszowski,06
1809032,Horyniec-Zdrój (2),lubaczowski,18
0604011,Hrubieszów (1),hrubieszowski,06
0604042,Hrubieszów (2),hrubieszowski,06
1410012,Huszlew (2),łosicki,14
1816072,Hyżne (2),rzeszowski,18
1206022,Igołomia-Wawrzeńczyce (2),krakowski,12
2807011,Iława (1),iławski,28
2807032,Iława (2),iławski,28
0810043,Iłowa (3),żagański,08
2803032,Iłowo-Osada (2),działdowski,28
1428032,Iłów (2),sochaczewski,14
1425033,Iłża (3),radomski,14
2414021,Imielin (1),bieruńsko-lędziński,24
2602012,Imielno (2),jędrzejowski,26
1016053,Inowłódz (2),tomaszowski,10
0407011,Inowrocław (1),inowrocławski,04
0407042,Inowrocław (2),inowrocławski,04
3214053,Ińsko (3),stargardzki,32
2416032,Irządze (2),zawierciański,24
2403092,Istebna (2),cieszyński,24
2606023,Iwaniska (2),opatowski,26
1206032,Iwanowice (2),krakowski,12
1815012,Iwierzyce (2),ropczycko-sędziszowski,18
1202062,Iwkowa (2),brzeski,12
1807033,Iwonicz-Zdrój (3),krośnieński,18
1432022,Izabelin (2),warszawski,14
0606043,Izbica (2),krasnostawski,06
0418083,Izbica Kujawska (3),włocławski,04
1611012,Izbicko (2),strzelecki,16
1211052,Jabłonka (2),nowotarski,12
0609062,Jabłonna (2),lubelski,06
1408022,Jabłonna (2),legionowski,14
1429042,Jabłonna Lacka (2),sokołowski,14
0402073,Jabłonowo Pomorskie (3),brodnicki,04
0613022,Jabłoń (2),parczewski,06
1434063,Jadów (2),wołomiński,14
1405052,Jaktorów (2),grodziski,14
1412082,Jakubów (2),miński,14
0407053,Janikowo (3),inowrocławski,04
0206052,Janowice Wielkie (2),karkonoski,02
0614032,Janowiec (2),puławski,06
2811012,Janowiec Kościelny (2),nidzicki,28
0419033,Janowiec Wielkopolski (3),żniński,04
2811022,Janowo (2),nidzicki,28
2404032,Janów (2),częstochowski,24
2011022,Janów (2),sokólski,20
0605053,Janów Lubelski (3),janowski,06
0601052,Janów Podlaski (2),bialski,06
3006013,Jaraczewo (3),jarociński,30
0618032,Jarczów (2),tomaszowski,06
1812022,Jarocin (2),niżański,18
3006023,Jarocin (3),jarociński,30
1804011,Jarosław (1),jarosławski,18
1804042,Jarosław (2),jarosławski,18
2402052,Jasienica (2),bielski,24
1802052,Jasienica Rosielna (2),brzozowski,18
1406062,Jasieniec (2),grójecki,14
